p1,c1
19.7,-0.187739891
19.8,-0.12569724
19.9,-0.063158549
20,-0.000370614
20.1,0.062418783
20.2,0.124961856
20.3,0.187011791
20.4,0.248323719
20.5,0.308655685
20.6,0.3677696
20.7,0.425432181
20.8,0.481415876
20.9,0.535499753
21,0.587470383
21.1,0.637122672
21.2,0.684260677
21.3,0.728698377
21.4,0.770260407
21.5,0.80878275
21.6,0.844113386
21.7,0.876112888
21.8,0.904654977
21.9,0.929627016
22,0.950930459
22.1,0.968481234
22.2,0.982210082
22.3,0.992062825
22.4,0.998000579
22.5,0.999999913
22.6,0.998052937
22.7,0.992167335
22.8,0.982366332
22.9,0.968688606
23,0.951188135
23.1,0.92993398
23.2,0.905010017
23.3,0.876514603
23.4,0.844560191
23.5,0.809272882
23.6,0.77079193
23.7,0.729269195
23.8,0.684868537
23.9,0.637765175
24,0.588144994
24.1,0.53620381
24.2,0.4821466
24.3,0.426186689
24.4,0.368544913
24.5,0.309448745
24.6,0.249131395
24.7,0.187830896
24.8,0.125789158
24.9,0.063251017
25,0.000463268
25.1,-0.06232631
25.2,-0.124869928
25.3,-0.186920771
25.4,-0.248233967
25.5,-0.308567554
25.6,-0.367683438
25.7,-0.425348329
25.8,-0.481334663
25.9,-0.535421502
26,-0.587395401
26.1,-0.637051255
26.2,-0.684193107
26.3,-0.728634921
26.4,-0.770201316
26.5,-0.808728257
26.6,-0.844063705
26.7,-0.876068215
26.8,-0.904615489
26.9,-0.929592869
27,-0.950901787
27.1,-0.968458151
27.2,-0.982192679
27.3,-0.99205117
27.4,-0.997994718
27.5,-0.99999987
27.6,-0.998058712
27.7,-0.992178904
27.8,-0.982383651
27.9,-0.968711606
28,-0.951216725
28.1,-0.929968047
28.2,-0.905049427
28.3,-0.8765592
28.4,-0.844609799
28.5,-0.809327306
28.6,-0.770850956
28.7,-0.729332588
28.8,-0.684936048
28.9,-0.637836537
29,-0.588219926
29.1,-0.536282016
29.2,-0.48222777
29.3,-0.426270505
29.4,-0.368631043
29.5,-0.309536849
29.6,-0.249221127
29.7,-0.1879219
29.8,-0.125881075
29.9,-0.063343485
30,-0.000555922
30.1,0.062233836
30.2,0.124777999
30.3,0.18682975
30.4,0.248144212
30.5,0.30847942
30.6,0.367597273
30.7,0.425264473
30.8,0.481253447
30.9,0.535343246
31,0.587320414
31.1,0.636979833
31.2,0.684125532
31.3,0.72857146
31.4,0.770142218
31.5,0.808673756
31.6,0.844014016
31.7,0.876023535
31.8,0.904575994
31.9,0.929558714
32,0.950873107
32.1,0.96843506
32.2,0.982175267
32.3,0.992039506
32.4,0.997988849
32.5,0.999999819
32.6,0.998064478
32.7,0.992190465
32.8,0.982400961
32.9,0.968734598
33,0.951245307
33.1,0.930002106
33.2,0.905088829
33.3,0.87660379
33.4,0.844659401
33.5,0.809381723
33.6,0.770909974
33.7,0.729395975
33.8,0.685003553
33.9,0.637907894
34,0.588294852
34.1,0.536360217
34.2,0.482308937
34.3,0.426354317
34.4,0.36871717
34.5,0.309624951
34.6,0.249310856
34.7,0.188012902
34.8,0.125972991
34.9,0.063435952
35,0.000648575
35.1,-0.062141362
35.2,-0.124686069
35.3,-0.186738727
35.4,-0.248054455
35.5,-0.308391284
35.6,-0.367511105
35.7,-0.425180613
35.8,-0.481172227
35.9,-0.535264985
36,-0.587245422
36.1,-0.636908405
36.2,-0.684057951
36.3,-0.728507992
36.4,-0.770083113
36.5,-0.808619248
36.6,-0.843964321
36.7,-0.875978848
36.8,-0.90453649
36.9,-0.929524551
37,-0.950844419
37.1,-0.968411961
37.2,-0.982157847
37.3,-0.992027835
37.4,-0.997982972
37.5,-0.999999759
37.6,-0.998070236
37.7,-0.992202018
37.8,-0.982418263
37.9,-0.968757581
38,-0.95127388
38.1,-0.930036158
38.2,-0.905128224
38.3,-0.876648373
38.4,-0.844708995
38.5,-0.809436134
38.6,-0.770968986
38.7,-0.729459355
38.8,-0.685071051
38.9,-0.637979245
39,-0.588369774
39.1,-0.536438413
39.2,-0.4823901
39.3,-0.426438125
39.4,-0.368803294
39.5,-0.30971305
39.6,-0.249400582
39.7,-0.188103903
39.8,-0.126064906
39.9,-0.063528419
40,-0.000741229
40.1,0.062048887
40.2,0.124594138
40.3,0.186647702
40.4,0.247964696
40.5,0.308303145
40.6,0.367424934
40.7,0.42509675
40.8,0.481091002
40.9,0.53518672
41,0.587170424
41.1,0.636836972
41.2,0.683990364
41.3,0.728444517
41.4,0.770024002
41.5,0.808564734
41.6,0.843914618
41.7,0.875934152
41.8,0.904496979
41.9,0.92949038
42,0.950815723
42.1,0.968388853
42.2,0.982140419
42.3,0.992016154
42.4,0.997977086
42.5,0.99999969
42.6,0.998075985
42.7,0.992213562
42.8,0.982435557
42.9,0.968780556
43,0.951302446
43.1,0.930070201
43.2,0.90516761
43.3,0.876692947
43.4,0.844758582
43.5,0.809490537
43.6,0.771027991
43.7,0.729522729
43.8,0.685138544
43.9,0.63805059
44,0.58844469
44.1,0.536516605
44.2,0.482471258
44.3,0.42652193
44.4,0.368889415
44.5,0.309801147
44.6,0.249490307
44.7,0.188194901
44.8,0.12615682
44.9,0.063620885
45,0.000833882
45.1,-0.061956411
45.2,-0.124502206
45.3,-0.186556676
45.4,-0.247874935
45.5,-0.308215004
45.6,-0.36733876
45.7,-0.425012883
45.8,-0.481009773
45.9,-0.53510845
46,-0.587095422
46.1,-0.636765534
46.2,-0.683922771
46.3,-0.728381037
46.4,-0.769964885
46.5,-0.808510212
46.6,-0.843864907
46.7,-0.87588945
46.8,-0.90445746
46.9,-0.929456201
47,-0.950787019
47.1,-0.968365736
47.2,-0.982122982
47.3,-0.992004465
47.4,-0.997971191
47.5,-0.999999613
47.6,-0.998081725
47.7,-0.992225098
47.8,-0.982452842
47.9,-0.968803522
48,-0.951331003
48.1,-0.930104236
48.2,-0.905206989
48.3,-0.876737515
48.4,-0.844808162
48.5,-0.809544934
48.6,-0.77108699
48.7,-0.729586097
48.8,-0.685206032
48.9,-0.63812193
49,-0.588519602
49.1,-0.536594792
49.2,-0.482552412
49.3,-0.426605732
49.4,-0.368975532
49.5,-0.30988924
49.6,-0.24958003
49.7,-0.188285899
49.8,-0.126248733
49.9,-0.063713351
50,-0.000926536
50.1,0.061863936
50.2,0.124410273
50.3,0.186465648
50.4,0.247785172
50.5,0.308126859
50.6,0.367252582
50.7,0.424929012
50.8,0.48092854
50.9,0.535030175
51,0.587020415
51.1,0.63669409
51.2,0.683855172
51.3,0.72831755
51.4,0.76990576
51.5,0.808455684
51.6,0.84381519
51.7,0.87584474
51.8,0.904417934
51.9,0.929422014
52,0.950758307
52.1,0.968342612
52.2,0.982105537
52.3,0.991992768
52.4,0.997965288
52.5,0.999999527
52.6,0.998087457
52.7,0.992236625
52.8,0.982470119
52.9,0.96882648
53,0.951359552
53.1,0.930138263
53.2,0.90524636
53.3,0.876782075
53.4,0.844857734
53.5,0.809599323
53.6,0.771145982
53.7,0.729649459
53.8,0.685273513
53.9,0.638193265
54,0.588594508
54.1,0.536672974
54.2,0.482633563
54.3,0.426689529
54.4,0.369061646
54.5,0.309977332
54.6,0.24966975
54.7,0.188376894
54.8,0.126340645
54.9,0.063805816
55,0.001019189
55.1,-0.061771459
55.2,-0.124318338
55.3,-0.186374619
55.4,-0.247695407
55.5,-0.308038712
55.6,-0.367166401
55.7,-0.424845138
55.8,-0.480847303
55.9,-0.534951896
56,-0.586945403
56.1,-0.63662264
56.2,-0.683787568
56.3,-0.728254057
56.4,-0.76984663
56.5,-0.808401148
56.6,-0.843765465
56.7,-0.875800022
56.8,-0.9043784
56.9,-0.929387819
57,-0.950729586
57.1,-0.968319479
57.2,-0.982088083
57.3,-0.991981062
57.4,-0.997959376
57.5,-0.999999432
57.6,-0.998093181
57.7,-0.992248143
57.8,-0.982487387
57.9,-0.96884943
58,-0.951388093
58.1,-0.930172283
58.2,-0.905285724
58.3,-0.876826627
58.4,-0.844907299
58.5,-0.809653706
58.6,-0.771204967
58.7,-0.729712814
58.8,-0.685340988
58.9,-0.638264594
59,-0.588669409
59.1,-0.536751152
59.2,-0.482714709
59.3,-0.426773323
59.4,-0.369147757
59.5,-0.31006542
59.6,-0.249759468
59.7,-0.188467888
59.8,-0.126432555
59.9,-0.06389828
60,-0.001111843
60.1,0.061678982
60.2,0.124226403
60.3,0.186283588
60.4,0.24760564
60.5,0.307950563
60.6,0.367080218
60.7,0.42476126
60.8,0.480766062
60.9,0.534873612
61,0.586870385
61.1,0.636551186
61.2,0.683719957
61.3,0.728190558
61.4,0.769787492
61.5,0.808346606
61.6,0.843715733
61.7,0.875755297
61.8,0.904338857
61.9,0.929353617
62,0.950700858
62.1,0.968296338
62.2,0.982070621
62.3,0.991969348
62.4,0.997953455
62.5,0.999999329
62.6,0.998098895
62.7,0.992259653
62.8,0.982504647
62.9,0.968872372
63,0.951416625
63.1,0.930206294
63.2,0.90532508
63.3,0.876871171
63.4,0.844956857
63.5,0.809708081
63.6,0.771263946
63.7,0.729776163
63.8,0.685408458
63.9,0.638335917
64,0.588744305
64.1,0.536829326
64.2,0.482795851
64.3,0.426857113
64.4,0.369233865
64.5,0.310153506
64.6,0.249849184
64.7,0.188558881
64.8,0.126524465
64.9,0.063990744
65,0.001204496
65.1,-0.061586505
65.2,-0.124134467
65.3,-0.186192555
65.4,-0.24751587
65.5,-0.307862411
65.6,-0.366994031
65.7,-0.424677378
65.8,-0.480684817
65.9,-0.534795324
66,-0.586795363
66.1,-0.636479725
66.2,-0.683652341
66.3,-0.728127052
66.4,-0.769728348
66.5,-0.808292057
66.6,-0.843665994
66.7,-0.875710564
66.8,-0.904299308
66.9,-0.929319406
67,-0.950672121
67.1,-0.968273189
67.2,-0.98205315
67.3,-0.991957625
67.4,-0.997947527
67.5,-0.999999218
67.6,-0.998104602
67.7,-0.992271155
67.8,-0.982521898
67.9,-0.968895305
68,-0.95144515
68.1,-0.930240297
68.2,-0.905364427
68.3,-0.876915709
68.4,-0.845006408
68.5,-0.80976245
68.6,-0.771322918
68.7,-0.729839506
68.8,-0.685475921
68.9,-0.638407235
69,-0.588819196
69.1,-0.536907494
69.2,-0.482876988
69.3,-0.4269409
69.4,-0.36931997
69.5,-0.310241589
69.6,-0.249938898
69.7,-0.188649871
69.8,-0.126616373
69.9,-0.064083208
70,-0.00129715
70.1,0.061494027
70.2,0.124042529
70.3,0.186101521
70.4,0.247426099
70.5,0.307774256
70.6,0.366907841
70.7,0.424593493
70.8,0.480603568
70.9,0.534717031
71,0.586720336
71.1,0.636408259
71.2,0.683584719
71.3,0.72806354
71.4,0.769669197
71.5,0.808237501
71.6,0.843616248
71.7,0.875665824
71.8,0.90425975
71.9,0.929285187
72,0.950643376
72.1,0.968250031
72.2,0.982035671
72.3,0.991945893
72.4,0.997941589
72.5,0.999999098
72.6,0.998110299
72.7,0.992282648
72.8,0.982539141
72.9,0.96891823
73,0.951473666
73.1,0.930274293
73.2,0.905403768
73.3,0.876960238
73.4,0.845055952
73.5,0.809816812
73.6,0.771381884
73.7,0.729902843
73.8,0.685543379
73.9,0.638478548
74,0.588894083
74.1,0.536985658
74.2,0.482958122
74.3,0.427024683
74.4,0.369406072
74.5,0.31032967
74.6,0.25002861
74.7,0.18874086
74.8,0.126708281
74.9,0.064175671
75,0.001389803
75.1,-0.061401548
75.2,-0.123950591
75.3,-0.186010485
75.4,-0.247336325
75.5,-0.307686098
75.6,-0.366821647
75.7,-0.424509604
75.8,-0.480522314
75.9,-0.534638734
76,-0.586645303
76.1,-0.636336788
76.2,-0.68351709
76.3,-0.728000022
76.4,-0.76961004
76.5,-0.808182937
76.6,-0.843566494
76.7,-0.875621076
76.8,-0.904220185
76.9,-0.92925096
77,-0.950614623
77.1,-0.968226865
77.2,-0.982018183
77.3,-0.991934153
77.4,-0.997935643
77.5,-0.999998969
77.6,-0.998115988
77.7,-0.992294132
77.8,-0.982556376
77.9,-0.968941146
78,-0.951502175
78.1,-0.93030828
78.2,-0.9054431
78.3,-0.87700476
78.4,-0.845105488
78.5,-0.809871167
78.6,-0.771440842
78.7,-0.729966173
78.8,-0.685610831
78.9,-0.638549855
79,-0.588968964
79.1,-0.537063818
79.2,-0.483039251
79.3,-0.427108462
79.4,-0.36949217
79.5,-0.310417747
79.6,-0.25011832
79.7,-0.188831848
79.8,-0.126800187
79.9,-0.064268133
80,-0.001482457
80.1,0.061309069
80.2,0.123858651
80.3,0.185919448
80.4,0.247246549
80.5,0.307597938
80.6,0.366735451
80.7,0.424425711
80.8,0.480441056
80.9,0.534560432
81,0.586570266
81.1,0.636265311
81.2,0.683449456
81.3,0.727936498
81.4,0.769550876
81.5,0.808128367
81.6,0.843516733
81.7,0.87557632
81.8,0.904180612
81.9,0.929216725
82,0.950585861
82.1,0.968203691
82.2,0.982000687
82.3,0.991922405
82.4,0.997929688
82.5,0.999998831
82.6,0.998121669
82.7,0.992305608
82.8,0.982573602
82.9,0.968964055
83,0.951530675
83.1,0.930342259
83.2,0.905482424
83.3,0.877049275
83.4,0.845155017
83.5,0.809925514
83.6,0.771499795
83.7,0.730029497
83.8,0.685678277
83.9,0.638621157
84,0.58904384
84.1,0.537141973
84.2,0.483120377
84.3,0.427192238
84.4,0.369578265
84.5,0.310505823
84.6,0.250208028
84.7,0.188922834
84.8,0.126892092
84.9,0.064360595
85,0.00157511
85.1,-0.06121659
85.2,-0.12376671
85.3,-0.185828409
85.4,-0.247156771
85.5,-0.307509776
85.6,-0.366649251
85.7,-0.424341815
85.8,-0.480359795
85.9,-0.534482125
86,-0.586495223
86.1,-0.636193829
86.2,-0.683381817
86.3,-0.727872967
86.4,-0.769491705
86.5,-0.80807379
86.6,-0.843466965
86.7,-0.875531558
86.8,-0.904141031
86.9,-0.929182483
87,-0.950557092
87.1,-0.968180508
87.2,-0.981983183
87.3,-0.991910648
87.4,-0.997923725
87.5,-0.999998685
87.6,-0.998127341
87.7,-0.992317076
87.8,-0.982590819
87.9,-0.968986955
88,-0.951559167
88.1,-0.930376231
88.2,-0.905521741
88.3,-0.877093782
88.4,-0.845204538
88.5,-0.809979855
88.6,-0.77155874
88.7,-0.730092815
88.8,-0.685745717
88.9,-0.638692453
89,-0.589118711
89.1,-0.537220123
89.2,-0.483201498
89.3,-0.427276009
89.4,-0.369664357
89.5,-0.310593895
89.6,-0.250297733
89.7,-0.189013818
89.8,-0.126983996
89.9,-0.064453056
90,-0.001667764
90.1,0.06112411
90.2,0.123674769
90.3,0.185737368
90.4,0.247066991
90.5,0.30742161
90.6,0.366563049
90.7,0.424257915
90.8,0.480278529
90.9,0.534403814
91,0.586420176
91.1,0.636122341
91.2,0.683314171
91.3,0.727809431
91.4,0.769432528
91.5,0.808019206
91.6,0.84341719
91.7,0.875486787
91.8,0.904101442
91.9,0.929148232
92,0.950528314
92.1,0.968157317
92.2,0.98196567
92.3,0.991898882
92.4,0.997917753
92.5,0.999998531
92.6,0.998133004
92.7,0.992328535
92.8,0.982608029
92.9,0.969009846
93,0.95158765
93.1,0.930410194
93.2,0.90556105
93.3,0.877138282
93.4,0.845254053
93.5,0.810034189
93.6,0.771617679
93.7,0.730156126
93.8,0.685813151
93.9,0.638763744
94,0.589193576
94.1,0.537298268
94.2,0.483282615
94.3,0.427359778
94.4,0.369750446
94.5,0.310681965
94.6,0.250387436
94.7,0.189104801
94.8,0.127075899
94.9,0.064545517
95,0.001760417
95.1,-0.061031629
95.2,-0.123582826
95.3,-0.185646326
95.4,-0.246977209
95.5,-0.307333442
95.6,-0.366476843
95.7,-0.424174012
95.8,-0.480197259
95.9,-0.534325498
96,-0.586345123
96.1,-0.636050848
96.2,-0.683246519
96.3,-0.727745887
96.4,-0.769373345
96.5,-0.807964615
96.6,-0.843367407
96.7,-0.875442009
96.8,-0.904061846
96.9,-0.929113973
97,-0.950499528
97.1,-0.968134118
97.2,-0.981948149
97.3,-0.991887108
97.4,-0.997911773
97.5,-0.999998368
97.6,-0.998138659
97.7,-0.992339985
97.8,-0.982625229
97.9,-0.96903273
98,-0.951616126
98.1,-0.930444149
98.2,-0.905600352
98.3,-0.877182774
98.4,-0.84530356
98.5,-0.810088516
98.6,-0.771676612
98.7,-0.730219432
98.8,-0.685880579
98.9,-0.638835029
99,-0.589268437
99.1,-0.537376409
99.2,-0.483363728
99.3,-0.427443542
99.4,-0.369836532
99.5,-0.310770032
99.6,-0.250477137
99.7,-0.189195782
99.8,-0.127167801
